Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Filippo D'Andrea,Centre-Forward,22,20/21,Italy,Atletico Fiuggi,Serie D - F,Italy,Salernitana,Serie B,Italy,€50Th.,False,https://img.a.transfermarkt.technology/portrait/medium/459892-1606755561.jpg?lm=1
Gabriele Chingari,Goalkeeper,19,19/20,Italy,Lanusei,Serie D - G,Italy,Atletico Fiuggi,Serie D - F,Italy,€50Th.,False,https://img.a.transfermarkt.technology/portrait/medium/477916-1606855916.jpg?lm=1
Michael D'Eramo,Central Midfield,19,18/19,Italy,Avezzano,Serie D - F,Italy,Spezia Calcio,Serie B,Italy,€50Th.,False,https://img.a.transfermarkt.technology/portrait/medium/395140-1555060221.png?lm=1
Denis Perpepaj,Centre-Forward,18,18/19,Kosovo,Recanatese,Serie D - F,Italy,Ascoli U19,Primavera 2b,Italy,€50Th.,False,https://img.a.transfermarkt.technology/portrait/medium/460438-1507544343.JPG?lm=1
Nicola Falasco,Left-Back,24,18/19,Italy,AS Roma,Serie A,Italy,Avellino,Serie D - G,Italy,€90Th.,False,https://img.a.transfermarkt.technology/portrait/medium/176180-1457696166.JPG?lm=1
Gaetano Vitale,Central Midfield,19,20/21,Italy,Sorrento,Serie D - H,Italy,Salernitana,Serie B,Italy,€315Th.,False,https://img.a.transfermarkt.technology/portrait/medium/615180-1589570677.jpg?lm=1
Eddy Gnahoré,Central Midfield,25,19/20,France/Cote d'Ivoire,Palermo,Serie D - I,Italy,Amiens SC,Ligue 1,France,€2.50m,False,https://img.a.transfermarkt.technology/portrait/medium/168933-1580319490.jpg?lm=1
Karamoko Cissé,Centre-Forward,29,18/19,Guinea/Italy,Bari,Serie D - I,Italy,Hellas Verona,Serie B,Italy,€800Th.,False,https://img.a.transfermarkt.technology/portrait/medium/65635-1602876784.jpg?lm=1
Stefano Sabelli,Right-Back,25,18/19,Italy,Bari,Serie D - I,Italy,Brescia,Serie B,Italy,€500Th.,False,https://img.a.transfermarkt.technology/portrait/medium/167491-1595930293.jpg?lm=1
Michele Somma,Centre-Back,23,18/19,Italy,Brescia,Serie B,Italy,Bari,Serie D - I,Italy,€500Th.,False,https://img.a.transfermarkt.technology/portrait/medium/240365-1544776751.jpg?lm=1
Souleyman Doumbia,Left-Back,21,18/19,Cote d'Ivoire/France,Bari,Serie D - I,Italy,Grasshoppers,Super League,Switzerland,€300Th.,False,https://img.a.transfermarkt.technology/portrait/medium/296356-1548263013.jpg?lm=1
Josip Posavec,Goalkeeper,23,19/20,Croatia,Palermo,Serie D - I,Italy,Hajduk Split,1.HNL,Croatia,€200Th.,False,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Simone Iocolano,Left Winger,28,18/19,Italy,Alessandria,Serie C-A,Italy,Bari,Serie D - I,Italy,€150Th.,False,https://img.a.transfermarkt.technology/portrait/medium/125182-1580887589.jpg?lm=1
Vincenzo Mustacciolo,Central Midfield,17,17/18,Italy,Troina,Serie D - I,Italy,Parma,Serie B,Italy,€93Th.,False,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
